CODIGO,CLAVE,DIRECCION,CMUN,DESCR,UTM_X,UTM_Y,BUSCA,DS_ABREV,DS_LARGO,ETIQUETA,URL,MUNICIPIO,CD_VIAL
28081030,EA,"Calle Alalpardo, s/n",005,Alberto Corazón,468666,4482442,"Escuela de Educación Artística EA Alberto Corazón. Calle Alalpardo, s/n. Alcalá de Henares",E ARTE,Escuela de Educación Artística,EA Alberto Corazón,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28081030,Alcalá de Henares,005A0011
28080499,EEI,"Avenida Niceto Alcalá Zamora, s/n",065,Arcoiris,435724,4460974,"Escuela de Educación Infantil EEI Arcoiris. Avenida Niceto Alcalá Zamora, s/n. Getafe",EEI,Escuela de Educación Infantil,EEI Arcoiris,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080499,Getafe,06560636
28080748,EEI,Calle Santo De La Isidra c/v Tabernera Del Puerto,079,Parque Ingenieros,440173,4467363,Escuela de Educación Infantil EEI Parque Ingenieros. Calle Santo De La Isidra c/v Tabernera Del Puerto. Madrid,EEI,Escuela de Educación Infantil,EEI Parque Ingenieros,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080748,Madrid,07999102
28081467,CEE,Calle Felipe II,161,Nº 1 De Valdemoro,443050,4449489,Colegio de Educación Especial CEE Nº 1 De Valdemoro. Calle Felipe II. Valdemoro,CP EE,Colegio de Educación Especial,CEE Nº 1 De Valdemoro,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28081467,Valdemoro,161C0144
28701263,CEE,"Avenida De Los Angeles, 57",065,Getafe,439146,4462379,"Colegio de Educación Especial CEE Getafe. Avenida De Los Angeles, 57. Getafe",CET,Colegio de Educación Especial,CEE Getafe,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28701263,Getafe,065A0060
28080967,IES,"Calle De Los Ganados Del Salobral, 5",079,Maria Goyri Goyri,442510,4465493,"Instituto de Educación Secundaria IES Maria Goyri Goyri. Calle De Los Ganados Del Salobral, 5. Madrid",IES,Instituto de Educación Secundaria,IES Maria Goyri Goyri,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080967,Madrid,079C0660
28081339,EA,"Calle De La Dalia, 4",079,Ciudad Lineal,443498,4481190,"Escuela Municipal de Música EA Ciudad Lineal. Calle De La Dalia, 4. Madrid",E MUN.MUSICA,Escuela Municipal de Música,EA Ciudad Lineal,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28081339,Madrid,07945598
28081340,EA,"Calle Corregidor Diego De Valderrábano, 66",079,Moratalaz,444198,4473678,"Escuela Municipal de Música EA Moratalaz. Calle Corregidor Diego De Valderrábano, 66. Madrid",E MUN.MUSICA,Escuela Municipal de Música,EA Moratalaz,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28081340,Madrid,07908943
28081583,EEI,"Calle De Enrique Urquijo, 56",079,Cañaveral,452432,4472229,"Escuela de Educación Infantil EEI Cañaveral. Calle De Enrique Urquijo, 56. Madrid",EEI,Escuela de Educación Infantil,EEI Cañaveral,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28081583,Madrid,079C0523
28082125,EEI,"Calle De María Reiche, 29",079,Dsitrito de Arganzuela,448206,4482076,"Escuela de Educación Infantil EEI Dsitrito de Arganzuela. Calle De María Reiche, 29. Madrid",EEI,Escuela de Educación Infantil,EEI Dsitrito de Arganzuela,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082125,Madrid,079C0708
