CODIGO,CLAVE,DIRECCION,CMUN,DESCR,UTM_X,UTM_Y,BUSCA,DS_ABREV,DS_LARGO,ETIQUETA,URL,MUNICIPIO,CD_VIAL
28068384,EEI,"Calle Mayor, 71",154,El Sastrecillo Valiente,469624,4472313,"Escuela de Educación Infantil EEI El Sastrecillo Valiente. Calle Mayor, 71. Torres de la Alameda",EEI,Escuela de Educación Infantil,EEI El Sastrecillo Valiente,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068384,Torres de la Alameda,154A0089
28068724,EA,"Calle Caño, 8",056,Fresnedillas de la Oliva,400834,4482379,"Escuela de Educación Artística EA Fresnedillas de la Oliva. Calle Caño, 8. Fresnedillas de la Oliva",E MUN. MUS-DANZA,Escuela de Educación Artística,EA Fresnedillas de la Oliva,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068724,Fresnedillas de la Oliva,05600078
28068736,EOI,"Calle Alianza, 20-24",079,Villaverde - El Espinillo,441655,4467642,"Escuela Oficial Idiomas EOI Villaverde - El Espinillo. Calle Alianza, 20-24. Madrid",EXEOI,Escuela Oficial Idiomas,EOI Villaverde - El Espinillo,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068736,Madrid,07911847
28068773,EEI,"Calle Virtudes, 32-34",009,El Principito,458197,4493689,"Escuela de Educación Infantil EEI El Principito. Calle Virtudes, 32-34. Algete",EEI,Escuela de Educación Infantil,EEI El Principito,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068773,Algete,00900093
28068891,EEI,"Calle Portugal, s/n (Peñas Albas)",172,Los Almendros,469533,4477600,"Escuela de Educación Infantil EEI Los Almendros. Calle Portugal, s/n (Peñas Albas). Villalbilla",EEI-CN,Escuela de Educación Infantil,EEI Los Almendros,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068891,Villalbilla,17200365
28069169,CEIP,"Calle Embalse de Navacerrada, 60",079,Loyola de Palacio,449188,4467917,"Colegio Infantil y Primaria CEIP Loyola de Palacio. Calle Embalse de Navacerrada, 60. Madrid",CP INF-PRI-SEC,Colegio Infantil y Primaria,CEIP Loyola de Palacio,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069169,Madrid,079C0412
28069170,CEIP,"Calle Ruperto Chapí, 1",113,Dos de Mayo,440438,4456471,"Colegio Infantil y Primaria CEIP Dos de Mayo. Calle Ruperto Chapí, 1. Pinto",CP INF-PRI,Colegio Infantil y Primaria,CEIP Dos de Mayo,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069170,Pinto,113C0029
28069182,CEIP,"Calle Reinosa, 24",058,Manuel de Falla,431550,4461233,"Colegio Infantil y Primaria CEIP Manuel de Falla. Calle Reinosa, 24. Fuenlabrada",CP INF-PRI,Colegio Infantil y Primaria,CEIP Manuel de Falla,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069182,Fuenlabrada,058A0405
28069194,CEIP,"Calle Bernardo Atxaga, 1",123,José Iturzaeta,456019,4466651,"Colegio Infantil y Primaria CEIP José Iturzaeta. Calle Bernardo Atxaga, 1. Rivas-Vaciamadrid",CP INF-PRI,Colegio Infantil y Primaria,CEIP José Iturzaeta,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069194,Rivas-Vaciamadrid,12300814
28069212,CEIP,"Calle Humanes de Madrid, 12",074,Ángel González,432893,4462469,"Colegio Infantil y Primaria CEIP Ángel González. Calle Humanes de Madrid, 12. Leganés",CP INF-PRI,Colegio Infantil y Primaria,CEIP Ángel González,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069212,Leganés,074C0052
28069340,CEIP,"Calle José Echegaray, 59",065,Daoiz y Velarde,443371,4463556,"Colegio Infantil y Primaria CEIP Daoiz y Velarde. Calle José Echegaray, 59. Getafe",CP INF-PRI,Colegio Infantil y Primaria,CEIP Daoiz y Velarde,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069340,Getafe,065C0010
