id_education,center_name,center_type,infantil_i_ciclo_transiciones_infantil,infantil_i_ciclo_max_matriculados,infantil_i_ciclo_max_admitidos,infantil_i_ciclo_max_total_estudiantes,infantil_i_ciclo_año_max,infantil_i_ciclo_matriculados_objetivo,infantil_i_ciclo_plazas_estimadas,infantil_i_ciclo_solicitudes_presentadas,infantil_i_ciclo_solicitudes_admitidas,infantil_i_ciclo_solicitudes_admitidas_corregidas,infantil_i_ciclo_tasa_ocupacion,infantil_i_ciclo_ratio_demanda,infantil_i_ciclo_ratio_admision_capacidad,infantil_i_ciclo_eficiencia_admision,infantil_i_ciclo_activo,infantil_ii_ciclo_transiciones_infantil,infantil_ii_ciclo_max_matriculados,infantil_ii_ciclo_max_admitidos,infantil_ii_ciclo_max_total_estudiantes,infantil_ii_ciclo_año_max,infantil_ii_ciclo_matriculados_objetivo,infantil_ii_ciclo_plazas_estimadas,infantil_ii_ciclo_solicitudes_presentadas,infantil_ii_ciclo_solicitudes_admitidas,infantil_ii_ciclo_solicitudes_admitidas_corregidas,infantil_ii_ciclo_tasa_ocupacion,infantil_ii_ciclo_ratio_demanda,infantil_ii_ciclo_ratio_admision_capacidad,infantil_ii_ciclo_eficiencia_admision,infantil_ii_ciclo_activo,primaria_transiciones_infantil,primaria_max_plazas_infantil_ii,primaria_max_matriculados,primaria_max_admitidos,primaria_max_total_estudiantes,primaria_año_max,primaria_matriculados_objetivo,primaria_plazas_estimadas,primaria_solicitudes_presentadas,primaria_solicitudes_admitidas,primaria_solicitudes_admitidas_corregidas,primaria_tasa_ocupacion,primaria_ratio_demanda,primaria_ratio_admision_capacidad,primaria_eficiencia_admision,primaria_activo,eso_transiciones_infantil,eso_max_matriculados,eso_max_admitidos,eso_max_total_estudiantes,eso_año_max,eso_matriculados_objetivo,eso_plazas_estimadas,eso_solicitudes_presentadas,eso_solicitudes_admitidas,eso_solicitudes_admitidas_corregidas,eso_tasa_ocupacion,eso_ratio_demanda,eso_ratio_admision_capacidad,eso_eficiencia_admision,eso_activo,ciclos_activos,total_plazas_estimadas,total_matriculados,total_max_matriculados,total_solicitudes_presentadas,total_solicitudes_admitidas,total_solicitudes_admitidas_reales,tasa_ocupacion_centro,ratio_demanda_centro,ratio_admision_capacidad_centro,eficiencia_admision_centro
28039670,Cardenal Cisneros,IES,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,354,70,354,2022-2023,354,88.5,107,70,70,1.0,1.2090395480225988,0.7909604519774012,0.6542056074766355,1,1,88.5,354,354,107,70.0,70,1.0,1.2090395480225988,0.7909604519774012,0.6542056074766355
28031063,Breogán,CP INF-PRI,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,113,32,113,2024-2025,82,37.666666666666664,25,24,24,0.7256637168141593,0.6637168141592921,0.6371681415929203,0.96,1,27.333333333333332,37.666666666666664,226,27,226,2020-2021,211,37.666666666666664,14,14,41.33333333333333,0.9336283185840708,0.37168141592920356,1.0973451327433628,1.0,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2,75.33333333333333,293,339,39,65.33333333333333,38,0.8643067846607669,0.5176991150442478,0.8672566371681416,0.9743589743589743
28074062,Neil Armstrong,IES,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,946,250,946,2023-2024,895,236.5,251,209,209,0.9460887949260042,1.0613107822410148,0.8837209302325582,0.8326693227091634,1,1,236.5,895,946,251,209.0,209,0.9460887949260042,1.0613107822410148,0.8837209302325582,0.8326693227091634
28077348,La Luna,CP INF-PRI-SEC,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,275,75,275,2020-2021,211,91.66666666666667,154,57,57,0.7672727272727272,1.68,0.6218181818181818,0.37012987012987014,1,70.33333333333333,91.66666666666667,491,0,491,2024-2025,383,81.83333333333333,57,0,70.33333333333333,0.780040733197556,0.6965376782077394,0.8594704684317719,0.0,1,0,414,49,414,2024-2025,174,103.5,76,60,60,0.42028985507246375,0.7342995169082126,0.5797101449275363,0.7894736842105263,1,3,277.0,768,1180,287,187.33333333333331,117,0.6508474576271186,1.036101083032491,0.6762936221419975,0.4076655052264808
28025026,Las Veredillas,IES,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,726,149,726,2022-2023,726,181.5,245,149,149,1.0,1.3498622589531681,0.8209366391184573,0.6081632653061224,1,1,181.5,726,726,245,149.0,149,1.0,1.3498622589531681,0.8209366391184573,0.6081632653061224
28057040,Anton Sevillano,CP INF-PRI,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,69,20,69,2020-2021,47,23.0,11,11,11,0.6811594202898551,0.4782608695652174,0.4782608695652174,1.0,1,15.666666666666666,23.0,249,12,249,2020-2021,195,41.5,7,4,19.666666666666664,0.7831325301204819,0.1686746987951807,0.4738955823293172,0.5714285714285714,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2,64.5,242,318,18,30.666666666666664,15,0.7610062893081762,0.27906976744186046,0.4754521963824289,0.8333333333333334
28082307,El Boalo,IES,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,315,0,315,2024-2025,0,78.75,0,0,0,0.0,0.0,0.0,0.0,1,1,78.75,0,315,0,0.0,0,0.0,0.0,0.0,0.0
28032420,John Lennon,CP INF-PRI,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,144,48,144,2021-2022,127,48.0,36,35,35,0.8819444444444444,0.75,0.7291666666666666,0.9722222222222222,1,42.333333333333336,48.0,292,3,292,2022-2023,292,48.666666666666664,6,3,45.333333333333336,1.0,0.12328767123287672,0.9315068493150686,0.5,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2,96.66666666666666,419,436,42,80.33333333333334,38,0.9610091743119266,0.4344827586206897,0.8310344827586209,0.9047619047619048
28020201,Barrio Simancas,IES,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,236,40,236,2022-2023,236,59.0,62,40,40,1.0,1.0508474576271187,0.6779661016949152,0.6451612903225806,1,1,59.0,236,236,62,40.0,40,1.0,1.0508474576271187,0.6779661016949152,0.6451612903225806
28064755,Valdepiélagos,EEI-CN,0,10,13,10,2021-2022,9,3.3333333333333335,13,11,11,0.9,3.9,3.3,0.8461538461538461,1,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,N/A,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,N/A,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1,3.3333333333333335,9,10,13,11.0,11,0.9,3.9,3.3,0.8461538461538461
