id_education;cycle;year;total
28031531;infantil_ii_ciclo;2022-2023;162
28031531;infantil_ii_ciclo;2023-2024;151
28031531;infantil_ii_ciclo;2024-2025;162
28031531;primaria;2020-2021;331
28031531;primaria;2021-2022;369
28031531;primaria;2022-2023;394
28031531;primaria;2023-2024;401
28031531;primaria;2024-2025;381
28006160;total;2020-2021;208
28006160;total;2021-2022;196
28006160;total;2022-2023;224
28006160;total;2023-2024;218
28006160;total;2024-2025;205
28006160;infantil_ii_ciclo;2020-2021;62
28006160;infantil_ii_ciclo;2021-2022;58
28006160;infantil_ii_ciclo;2022-2023;69
28006160;infantil_ii_ciclo;2023-2024;62
28006160;infantil_ii_ciclo;2024-2025;53
28006160;primaria;2020-2021;146
28006160;primaria;2021-2022;138
28006160;primaria;2022-2023;155
28006160;primaria;2023-2024;156
28006160;primaria;2024-2025;152
28002312;total;2020-2021;884
28002312;total;2021-2022;875
28002312;total;2022-2023;945
28002312;total;2023-2024;979
28002312;total;2024-2025;1023
28002312;eso;2020-2021;636
28002312;eso;2021-2022;636
28002312;eso;2022-2023;712
28002312;eso;2023-2024;734
28002312;eso;2024-2025;797
28002312;bachillerato;2020-2021;248
28002312;bachillerato;2021-2022;239
28002312;bachillerato;2022-2023;233
28002312;bachillerato;2023-2024;245
28002312;bachillerato;2024-2025;226
28039384;total;2020-2021;366
28039384;total;2021-2022;399
28039384;total;2022-2023;418
28039384;total;2023-2024;437
28039384;total;2024-2025;420
28039384;infantil_ii_ciclo;2020-2021;146
28039384;infantil_ii_ciclo;2021-2022;150
28039384;infantil_ii_ciclo;2022-2023;141
28039384;infantil_ii_ciclo;2023-2024;131
28039384;infantil_ii_ciclo;2024-2025;119
28039384;primaria;2020-2021;220
28039384;primaria;2021-2022;249
28039384;primaria;2022-2023;277
28039384;primaria;2023-2024;306
28039384;primaria;2024-2025;301
28063908;total;2020-2021;478
28063908;total;2021-2022;465
28063908;total;2022-2023;484
28063908;total;2023-2024;460
28063908;total;2024-2025;443
28063908;infantil_ii_ciclo;2020-2021;131
28063908;infantil_ii_ciclo;2021-2022;117
28063908;infantil_ii_ciclo;2022-2023;122
28063908;infantil_ii_ciclo;2023-2024;129
28063908;infantil_ii_ciclo;2024-2025;116
28063908;primaria;2020-2021;347
28063908;primaria;2021-2022;348
28063908;primaria;2022-2023;362
28063908;primaria;2023-2024;331
28063908;primaria;2024-2025;327
28047666;total;2020-2021;102
28047666;total;2021-2022;114
28047666;total;2022-2023;113
28047666;total;2023-2024;91
28047666;total;2024-2025;113
28047666;infantil_i_ciclo;2020-2021;102
28047666;infantil_i_ciclo;2021-2022;114
28047666;infantil_i_ciclo;2022-2023;113
28047666;infantil_i_ciclo;2023-2024;91
28047666;infantil_i_ciclo;2024-2025;113
28070974;total;2020-2021;813
28070974;total;2021-2022;790
28070974;total;2022-2023;801
28070974;total;2023-2024;827
28070974;total;2024-2025;863
28070974;eso;2020-2021;555
28070974;eso;2021-2022;552
28070974;eso;2022-2023;617
28070974;eso;2023-2024;637
28070974;eso;2024-2025;648
28070974;bachillerato;2020-2021;258
28070974;bachillerato;2021-2022;238
28070974;bachillerato;2022-2023;184
28070974;bachillerato;2023-2024;190
28070974;bachillerato;2024-2025;215
28021291;total;2020-2021;280
28021291;total;2021-2022;316
28021291;total;2022-2023;337
28021291;total;2023-2024;357
28021291;total;2024-2025;355
28021291;infantil_ii_ciclo;2020-2021;114
28021291;infantil_ii_ciclo;2021-2022;131
28021291;infantil_ii_ciclo;2022-2023;111
28021291;infantil_ii_ciclo;2023-2024;116
28021291;infantil_ii_ciclo;2024-2025;106
28021291;primaria;2020-2021;166
28021291;primaria;2021-2022;185
28021291;primaria;2022-2023;226
28021291;primaria;2023-2024;241
28021291;primaria;2024-2025;249
28020831;total;2020-2021;523
28020831;total;2021-2022;561
28020831;total;2022-2023;500
28020831;total;2023-2024;476
28020831;total;2024-2025;507
28020831;fp_gm;2020-2021;117
28020831;fp_gm;2021-2022;145
28020831;fp_gm;2022-2023;122
28020831;fp_gm;2023-2024;123
28020831;fp_gm;2024-2025;138
28020831;fp_gs;2020-2021;376
28020831;fp_gs;2021-2022;385
28020831;fp_gs;2022-2023;354
