hospital_name;municipality_name
Hospital Universitario Rey Juan Carlos;Villaviciodsa de Odón
Hospital Universitario Rey Juan Carlos;Sevilla la Nueva
Hospital Universitario Rey Juan Carlos;Villamanta
Hospital Universitario Rey Juan Carlos;Villamantilla. Aldea del Fresno
Hospital Universitario Rey Juan Carlos;Chapinería
Hospital Universitario Rey Juan Carlos;San Martín de Valdeiglesias
Hospital Universitario Rey Juan Carlos;Cadalso de los Vidrios y Las Rozas de Puerto Real
Hospital Universitario Severo Ochoa;Leganés
Hospital Universitario Severo Ochoa;Fuenlabrada
Hospital Universitario Severo Ochoa;Humanes y Moraleja de Enmedio
