hospital_id;year;type_resources;total
CH0101;2014;Camas instaladas;269.0
CH0101;2015;Camas instaladas;269.0
CH0101;2016;Camas instaladas;269.0
CH0101;2017;Camas instaladas;367.0
CH0101;2018;Camas instaladas;361.0
CH0101;2019;Camas instaladas;361.0
CH0101;2020;Camas instaladas;361.0
CH0101;2021;Camas instaladas;361.0
CH0101;2022;Camas instaladas;361.0
CH0053;2012;Camas instaladas;996.0
CH0053;2013;Camas instaladas;964.0
CH0053;2014;Camas instaladas;964.0
CH0053;2015;Camas instaladas;964.0
CH0053;2016;Camas instaladas;860.0
CH0053;2017;Camas instaladas;860.0
CH0053;2018;Camas instaladas;861.0
CH0053;2019;Camas instaladas;861.0
CH0053;2020;Camas instaladas;861.0
CH0053;2021;Camas instaladas;861.0
CH0053;2022;Camas instaladas;861.0
CH0100;2012;Camas instaladas;132.0
CH0100;2013;Camas instaladas;132.0
CH0100;2014;Camas instaladas;133.0
CH0100;2015;Camas instaladas;132.0
CH0100;2016;Camas instaladas;132.0
CH0100;2017;Camas instaladas;132.0
CH0100;2018;Camas instaladas;132.0
CH0100;2019;Camas instaladas;132.0
CH0100;2020;Camas instaladas;132.0
CH0100;2021;Camas instaladas;132.0
CH0100;2022;Camas instaladas;132.0
CH0023;2012;Camas instaladas;1346.0
CH0023;2013;Camas instaladas;1322.0
CH0023;2014;Camas instaladas;1314.0
CH0023;2015;Camas instaladas;1287.0
CH0023;2016;Camas instaladas;1268.0
CH0023;2017;Camas instaladas;1256.0
CH0023;2018;Camas instaladas;1256.0
CH0023;2019;Camas instaladas;1186.0
CH0023;2020;Camas instaladas;1196.0
CH0023;2021;Camas instaladas;1196.0
CH0034;2012;Camas instaladas;1671.0
CH0034;2013;Camas instaladas;1671.0
CH0034;2014;Camas instaladas;1671.0
CH0034;2015;Camas instaladas;1671.0
CH0034;2016;Camas instaladas;1525.0
CH0034;2017;Camas instaladas;1351.0
CH0034;2018;Camas instaladas;1349.0
CH0034;2019;Camas instaladas;1259.0
CH0034;2020;Camas instaladas;1239.0
CH0034;2021;Camas instaladas;1236.0
CH0034;2022;Camas instaladas;1236.0
hospital_central_de_la_defensa_gomez_ulla;2014;Camas instaladas;498.0
hospital_central_de_la_defensa_gomez_ulla;2015;Camas instaladas;475.0
hospital_central_de_la_defensa_gomez_ulla;2016;Camas instaladas;475.0
hospital_central_de_la_defensa_gomez_ulla;2017;Camas instaladas;475.0
hospital_central_de_la_defensa_gomez_ulla;2018;Camas instaladas;475.0
hospital_central_de_la_defensa_gomez_ulla;2019;Camas instaladas;475.0
hospital_central_de_la_defensa_gomez_ulla;2020;Camas instaladas;475.0
hospital_central_de_la_defensa_gomez_ulla;2021;Camas instaladas;475.0
hospital_central_de_la_defensa_gomez_ulla;2022;Camas instaladas;475.0
CH0041;2012;Camas instaladas;1277.0
CH0041;2013;Camas instaladas;1228.0
CH0041;2014;Camas instaladas;1308.0
CH0041;2015;Camas instaladas;1308.0
CH0041;2016;Camas instaladas;1254.0
CH0041;2017;Camas instaladas;1254.0
CH0041;2018;Camas instaladas;1268.0
CH0041;2019;Camas instaladas;1268.0
CH0041;2020;Camas instaladas;1270.0
CH0041;2021;Camas instaladas;1270.0
CH0075;2012;Camas instaladas;592.0
CH0075;2013;Camas instaladas;589.0
CH0075;2014;Camas instaladas;589.0
CH0075;2015;Camas instaladas;589.0
CH0075;2016;Camas instaladas;510.0
CH0075;2017;Camas instaladas;510.0
CH0075;2018;Camas instaladas;510.0
CH0075;2019;Camas instaladas;524.0
CH0075;2020;Camas instaladas;543.0
CH0075;2021;Camas instaladas;543.0
CH0075;2022;Camas instaladas;543.0
CH0011;2013;Camas instaladas;689.0
CH0011;2014;Camas instaladas;665.0
CH0011;2015;Camas instaladas;670.0
CH0011;2016;Camas instaladas;659.0
CH0011;2017;Camas instaladas;659.0
CH0011;2018;Camas instaladas;660.0
CH0011;2019;Camas instaladas;651.0
CH0011;2020;Camas instaladas;651.0
CH0011;2021;Camas instaladas;651.0
CH0011;2022;Camas instaladas;651.0
CH0095;2012;Camas instaladas;102.0
CH0095;2013;Camas instaladas;117.0
CH0095;2014;Camas instaladas;117.0
CH0095;2015;Camas instaladas;152.0
CH0095;2016;Camas instaladas;152.0
CH0095;2017;Camas instaladas;152.0
CH0095;2018;Camas instaladas;158.0
CH0095;2019;Camas instaladas;174.0
CH0095;2020;Camas instaladas;182.0
CH0095;2021;Camas instaladas;184.0
CH0095;2022;Camas instaladas;188.0
CH0029;2012;Camas instaladas;564.0
CH0029;2013;Camas instaladas;564.0
CH0029;2014;Camas instaladas;564.0
CH0029;2015;Camas instaladas;564.0
CH0029;2016;Camas instaladas;564.0
CH0029;2017;Camas instaladas;564.0
CH0029;2018;Camas instaladas;524.0
CH0029;2019;Camas instaladas;524.0
CH0029;2020;Camas instaladas;524.0
CH0029;2021;Camas instaladas;524.0
CH0029;2022;Camas instaladas;533.0
