id_municipality,municipality_name,total_centers,total_population_0_19,population_0-4,population_5-9,population_10-14,population_15-19,infantil_i_ciclo_capacity,infantil_i_ciclo_plazas_estimadas,infantil_i_ciclo_max_matriculados,infantil_i_ciclo_solicitudes,infantil_i_ciclo_admitidos,infantil_i_ciclo_num_centers,infantil_i_ciclo_centers_names,infantil_ii_ciclo_capacity,infantil_ii_ciclo_plazas_estimadas,infantil_ii_ciclo_max_matriculados,infantil_ii_ciclo_solicitudes,infantil_ii_ciclo_admitidos,infantil_ii_ciclo_num_centers,infantil_ii_ciclo_centers_names,primaria_capacity,primaria_plazas_estimadas,primaria_max_matriculados,primaria_solicitudes,primaria_admitidos,primaria_num_centers,primaria_centers_names,eso_capacity,eso_plazas_estimadas,eso_max_matriculados,eso_solicitudes,eso_admitidos,eso_num_centers,eso_centers_names,infantil_i_ciclo_estimated_need,infantil_i_ciclo_coverage_ratio,infantil_i_ciclo_is_covered,infantil_i_ciclo_deficit,infantil_ii_ciclo_estimated_need,infantil_ii_ciclo_coverage_ratio,infantil_ii_ciclo_is_covered,infantil_ii_ciclo_deficit,primaria_estimated_need,primaria_coverage_ratio,primaria_is_covered,primaria_deficit,eso_estimated_need,eso_coverage_ratio,eso_is_covered,eso_deficit,total_estimated_need,total_capacity,overall_coverage_ratio,cycles_with_need,cycles_covered,coverage_percentage,is_fully_covered,total_deficit,cycles_with_access,access_percentage,access_classification,has_basic_education,has_mandatory_education,missing_cycles
28032,Camarma de Esteruelas,2,1879,307,422,565,585,84,28.0,84,85,84,1,Colorín Colorado,172,57.333333333333336,172,55,55,1,Federico García Lorca,518,86.33333333333333,518,6,53.0,1,Federico García Lorca,346,86.5,346,7,3,1,Federico García Lorca,184.2,0.45602605863192186,False,100.19999999999999,207.2,0.8301158301158301,False,35.19999999999999,563.6,0.9190915542938254,False,45.60000000000002,456.0,0.7587719298245614,False,110.0,1411.0,1120,0.7937632884479093,4,0,0.0,False,291.0,4,100.0,Acceso Completo,True,True,[]
28067,Guadalix de la Sierra,3,1443,297,345,373,428,86,28.666666666666668,86,86,81,1,Rio de Alisos,139,46.333333333333336,139,34,34,1,Alejandro Rubio,317,52.833333333333336,317,2,48.333333333333336,1,Alejandro Rubio,253,63.25,253,46,43,1,Luis García Berlanga,178.2,0.4826038159371493,False,92.19999999999999,187.8,0.7401490947816826,False,48.80000000000001,425.2,0.7455315145813735,False,108.19999999999999,309.4,0.8177117000646413,False,56.39999999999998,1100.6,795,0.7223332727603126,4,0,0.0,False,305.5999999999999,4,100.0,Acceso Completo,True,True,[]
28172,Villalbilla,5,4658,1118,1332,1184,1024,34,11.333333333333334,34,35,32,1,Los Almendros,483,161.0,483,164,116,3,"Peñas Albas, Gregorio Canella, Salvador Dalí",1021,170.16666666666666,1021,52,179.66666666666666,3,"Peñas Albas, Gregorio Canella, Salvador Dalí",708,177.0,708,185,185,1,Don Pelayo,670.8,0.05068574836016697,False,636.8,713.5999999999999,0.6768497757847535,False,230.5999999999999,1539.1999999999998,0.6633316008316009,False,518.1999999999998,915.2,0.7736013986013985,False,207.20000000000005,3838.7999999999993,2246,0.585078670417839,4,0,0.0,False,1592.7999999999993,4,100.0,Acceso Completo,True,True,[]
28096,Navalcarnero,9,8223,1603,2206,2401,2013,349,116.33333333333333,349,402,345,3,"Campanilla, Barco de Papel, Trébole",666,222.0,666,189,172,4,"Carlos Ruiz, José Jalón, Felipe IV, María Martín",1513,252.16666666666669,1513,68,223.66666666666669,4,"Carlos Ruiz, José Jalón, Felipe IV, María Martín",1287,321.75,1287,282,207,3,"Profesor Ángel Ysern, Carmen Martín Gaite, María Martín",961.8,0.36286130172593056,False,612.8,1082.4,0.6152993348115299,False,416.4000000000001,2725.2,0.5551886100102745,False,1212.1999999999998,1843.1999999999998,0.6982421875000001,False,556.1999999999998,6612.599999999999,3815,0.5769288933248647,4,0,0.0,False,2797.5999999999995,4,100.0,Acceso Completo,True,True,[]
28087,Los Molinos,5,806,171,168,217,250,54,18.0,54,57,55,1,Rincón Florido,81,27.0,81,29,29,1,Divino Maestro,167,27.833333333333332,167,4,26.0,1,Divino Maestro,1236,309.0,1236,306,298,3,"De Guadarrama, Gonzalo Anes, La Dehesilla",102.6,0.5263157894736843,False,48.599999999999994,102.0,0.7941176470588235,False,21.0,221.2,0.7549728752260398,False,54.19999999999999,180.2,6.859045504994451,True,0.0,606.0,1538,2.537953795379538,4,1,25.0,False,0.0,4,100.0,Acceso Completo,True,True,[]
28063,Gargantilla del Lozoya y Pinilla de Buitrago,4,60,16,10,16,18,29,9.666666666666666,29,36,33,2,"Lozoya, Villavieja de Lozoya",113,37.66666666666667,113,26,26,2,"Peñalta, CRA de Lozoya",248,41.33333333333333,248,2,36.33333333333333,2,"Peñalta, CRA de Lozoya",96,24.0,96,1,0,1,Peñalta,9.6,3.0208333333333335,True,0.0,8.4,13.452380952380953,True,0.0,14.4,17.22222222222222,True,0.0,13.2,7.272727272727273,True,0.0,45.599999999999994,486,10.657894736842106,4,4,100.0,True,0.0,4,100.0,Acceso Completo,True,True,[]
28176,Villanueva de la Cañada,6,5852,989,1353,1616,1894,125,41.66666666666667,125,190,130,2,"Los Cedros, Pimpón",423,141.0,423,130,85,3,"Santiago Apostol, Padre Garralda, María Moliner",1016,169.33333333333331,1016,77,153.33333333333334,3,"Santiago Apostol, Padre Garralda, María Moliner",826,206.5,826,145,103,3,"Las Encinas, Padre Garralda, María Moliner",593.4,0.2106504887091338,False,468.4,666.2,0.6349444611227859,False,243.20000000000005,1728.8000000000002,0.5876908838500694,False,712.8000000000002,1348.4,0.612577870068229,False,522.4000000000001,4336.8,2390,0.5510975834716841,4,0,0.0,False,1946.8000000000002,4,100.0,Acceso Completo,True,True,[]
28118,Puebla de la Sierra,3,5,0,2,1,2,14,4.666666666666667,14,14,14,1,Montejo de la Sierra,178,59.333333333333336,178,52,52,2,"Peñalta, CRA de Lozoyuela",414,69.0,414,5,59.0,2,"Peñalta, CRA de Lozoyuela",96,24.0,96,1,0,1,Peñalta,0.0,inf,True,0.0,0.4,445.0,True,0.0,2.0,207.0,True,0.0,1.0,96.0,True,0.0,3.4,688,202.35294117647058,3,3,100.0,True,0.0,4,100.0,Acceso Completo,True,True,[]
28169,Venturada,1,538,84,133,153,168,0,0.0,0,0,0,0,Ninguno,82,27.333333333333332,82,42,41,1,Puerta de la Sierra,133,22.166666666666668,133,1,28.333333333333332,1,Puerta de la Sierra,86,21.5,86,7,2,1,Puerta de la Sierra,50.4,0.0,False,50.4,60.2,1.3621262458471761,True,0.0,167.60000000000002,0.7935560859188543,False,34.60000000000002,125.4,0.6858054226475279,False,39.400000000000006,403.6,301,0.7457879088206144,4,1,25.0,False,102.60000000000002,3,75.0,Acceso Bueno,True,True,['infantil_i_ciclo']
28025,Brea de Tajo,5,68,13,16,15,24,8,2.6666666666666665,8,8,8,1,Siete Estrellas,294,98.0,294,84,82,3,"Juan de Goyeneche, Carlos Ruiz, Miguel de Cervantes",654,109.0,654,18,104.66666666666666,3,"Juan de Goyeneche, Carlos Ruiz, Miguel de Cervantes",1001,250.25,1001,147,141,3,"Juan de Goyeneche, Villarejo de Salvanés, Miguel de Cervantes",7.8,1.0256410256410258,True,0.0,8.4,35.0,True,0.0,18.8,34.78723404255319,True,0.0,13.8,72.53623188405797,True,0.0,48.8,1957,40.102459016393446,4,4,100.0,True,0.0,4,100.0,Acceso Completo,True,True,[]
