municipality_id;cycle;analysis_year;capacity;estimated_places;max_enrolled;applications;admitted;num_centers;centers_names;estimated_need;coverage_ratio;is_covered;deficit
28136;infantil_i_ciclo;2022-2023;38;12.666666666666666;38;43;34;1;La Isla de Las Arreñas;21.6;1.759259259259259;True;0.0
28136;infantil_ii_ciclo;2022-2023;96;32.0;96;24;24;1;CRA Amigos de la Paz;23.0;4.173913043478261;True;0.0
28136;primaria;2022-2023;203;33.833333333333336;203;2;21.0;1;CRA Amigos de la Paz;49.599999999999994;4.092741935483871;True;0.0
28136;eso;2022-2023;1208;302.0;1208;321;230;3;Alonso de Avellaneda, Alkala-Nahar, Complutense;36.6;33.005464480874316;True;0.0
28130;infantil_i_ciclo;2022-2023;432;144.0;432;519;420;6;Jaramita, Acuarela, Huerta Chica, Polichinela, El Tambor, Ciudades Unidas;785.4;0.5500381970970206;False;353.4
28130;infantil_ii_ciclo;2022-2023;986;328.6666666666667;986;273;230;7;El Olivar, Villar Palasi, Guernica, Miguel Hernández, Enrique Tierno Galván, El Jarama, Ciudades Unidas;857.0;1.1505250875145858;True;0.0
28130;primaria;2022-2023;2162;360.33333333333337;2162;54;306.00000000000006;7;El Olivar, Villar Palasi, Guernica, Miguel Hernández, Enrique Tierno Galván, El Jarama, Ciudades Unidas;2038.8;1.0604277025701394;True;0.0
28130;eso;2022-2023;1489;372.25;1489;317;278;3;Jaime Ferrán Clúa, Rey Fernando VI, Vega del Jarama;1496.6;0.994921822798343;False;7.599999999999909
28068;infantil_i_ciclo;2022-2023;115;38.333333333333336;115;138;121;1;Los Tilos;333.6;0.34472422062350117;False;218.60000000000002
28068;infantil_ii_ciclo;2022-2023;252;84.0;252;56;56;2;Villa de Guadarrama, Sierra de Guadarrama;394.20000000000005;0.639269406392694;False;142.20000000000005
28068;primaria;2022-2023;608;101.33333333333334;608;21;88.66666666666666;2;Villa de Guadarrama, Sierra de Guadarrama;1080.8000000000002;0.5625462620281272;False;472.8000000000002
28068;eso;2022-2023;529;132.25;529;143;135;1;De Guadarrama;808.0;0.6547029702970297;False;279.0
28042;infantil_i_ciclo;2022-2023;36;12.0;36;29;29;1;La Olma;47.4;0.759493670886076;False;11.399999999999999
28042;infantil_ii_ciclo;2022-2023;203;67.66666666666667;203;59;59;3;San Vicente, Santo Ángel de la Guarda, Isabel la Católica;51.0;3.980392156862745;True;0.0
28042;primaria;2022-2023;482;80.33333333333333;482;15;72.66666666666667;3;San Vicente, Santo Ángel de la Guarda, Isabel la Católica;116.8;4.126712328767123;True;0.0
28042;eso;2022-2023;323;80.75;323;28;28;2;Santo Ángel de la Guarda, Isabel la Católica;81.8;3.9486552567237165;True;0.0
28072;infantil_i_ciclo;2022-2023;156;52.0;156;149;145;2;El Hada Traga Manzanas, Los Tajetes;179.4;0.8695652173913043;False;23.400000000000006
28072;infantil_ii_ciclo;2022-2023;134;44.666666666666664;134;34;34;1;Virgen de la Encina;208.0;0.6442307692307693;False;74.0
28072;primaria;2022-2023;344;57.333333333333336;344;4;36.333333333333336;1;Virgen de la Encina;565.2;0.6086341118188251;False;221.20000000000005
28072;eso;2022-2023;260;65.0;260;50;50;1;Francisco Ayala;432.79999999999995;0.600739371534196;False;172.79999999999995
28032;infantil_i_ciclo;2022-2023;84;28.0;84;85;84;1;Colorín Colorado;184.2;0.45602605863192186;False;100.19999999999999
28032;infantil_ii_ciclo;2022-2023;172;57.333333333333336;172;55;55;1;Federico García Lorca;207.2;0.8301158301158301;False;35.19999999999999
28032;primaria;2022-2023;518;86.33333333333333;518;6;53.0;1;Federico García Lorca;563.6;0.9190915542938254;False;45.60000000000002
28032;eso;2022-2023;346;86.5;346;7;3;1;Federico García Lorca;456.0;0.7587719298245614;False;110.0
28067;infantil_i_ciclo;2022-2023;86;28.666666666666668;86;86;81;1;Rio de Alisos;178.2;0.4826038159371493;False;92.19999999999999
