municipality_id;analysis_year;municipality_name;total_centers;total_population_0_19;population_0_4;population_5_9;population_10_14;population_15_19;total_estimated_need;total_capacity;overall_coverage_ratio;cycles_with_need;cycles_covered;coverage_percentage;is_fully_covered;total_deficit;cycles_with_access;access_percentage;access_classification;has_basic_education;has_mandatory_education;missing_cycles
28075;2022-2023;Loeches;5;2232;376;556;629;671;1695.1999999999998;1435;0.8465077866918359;4;1;25.0;False;260.1999999999998;4;100.0;Acceso Completo;True;True;[]
28018;2022-2023;Becerril de la Sierra;2;1370;249;342;344;435;1022.0;660;0.6457925636007827;4;0;0.0;False;362.0;4;100.0;Acceso Completo;True;True;[]
28124;2022-2023;Robledillo de la Jara;4;24;5;7;3;9;16.8;1243;73.98809523809524;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28174;2022-2023;Villamanta;3;573;115;143;165;150;453.0;507;1.119205298013245;4;2;50.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28108;2022-2023;Pedrezuela;4;1548;304;426;458;360;1260.0;1367;1.0849206349206348;4;2;50.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28082;2022-2023;Manzanares El Real;5;2096;338;565;600;593;1621.6;1392;0.8584114454859398;4;1;25.0;False;229.5999999999999;4;100.0;Acceso Completo;True;True;[]
28163;2022-2023;Valdepiélagos;2;102;18;24;30;30;78.0;744;9.538461538461538;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28158;2022-2023;Valdemanco;3;209;33;50;67;59;161.8;811;5.012360939431397;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28004;2022-2023;El Álamo;3;2279;470;560;591;658;1752.6000000000001;1015;0.5791395640762296;4;0;0.0;False;737.6000000000001;4;100.0;Acceso Completo;True;True;[]
28008;2022-2023;Aldea del Fresno;3;726;162;177;190;197;568.4;767;1.3494018296973962;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28064;2022-2023;Gascones;3;49;13;9;16;11;40.2;455;11.318407960199004;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28131;2022-2023;San Lorenzo de El Escorial;7;3667;579;840;1056;1192;2713.4;1829;0.6740620623571902;4;0;0.0;False;884.4000000000001;4;100.0;Acceso Completo;True;True;[]
28180;2022-2023;Villarejo de Salvanés;4;1688;300;414;456;518;1273.6000000000001;1117;0.877041457286432;4;1;25.0;False;156.60000000000014;4;100.0;Acceso Completo;True;True;[]
28078;2022-2023;Madarcos;2;9;2;1;3;3;6.6;410;62.121212121212125;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28054;2022-2023;El Escorial;5;3208;590;742;918;958;2441.6;1178;0.4824705111402359;4;0;0.0;False;1263.6;4;100.0;Acceso Completo;True;True;[]
28031;2022-2023;Cadalso de los Vidrios;2;598;111;156;172;159;470.79999999999995;472;1.0025488530161428;4;2;50.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28021;2022-2023;El Berrueco;3;148;24;47;49;28;125.6;1058;8.423566878980893;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28033;2022-2023;Campo Real;3;1494;309;409;396;380;1190.0;863;0.7252100840336134;4;0;0.0;False;327.0;4;100.0;Acceso Completo;True;True;[]
28015;2022-2023;Arroyomolinos;10;11317;2126;3236;3347;2608;9230.6;5991;0.6490368990098152;4;0;0.0;False;3239.6000000000004;4;100.0;Acceso Completo;True;True;[]
