education_center_id;cycle;analysis_year;infant_transitions;max_infant_ii_places;max_enrolled;max_admitted;max_total_students;max_year;target_year_enrolled;estimated_places;applications_submitted;applications_admitted;applications_admitted_corrected;occupancy_rate;demand_ratio;admission_capacity_ratio;admission_efficiency;is_active
28031051;primaria;2022-2023;53.0;53.0;311;3;311;2023-2024;311;51.833333333333336;41;2;55.0;1.0;0.7909967845659164;1.0610932475884245;0.04878048780487805;1
28068037;infantil_i_ciclo;2022-2023;0;0;181;155;181;2023-2024;177;60.333333333333336;231;153;153;0.9779005524861878;3.8287292817679557;2.5359116022099446;0.6623376623376623;1
28039244;infantil_i_ciclo;2022-2023;0;0;41;39;41;2024-2025;0;13.666666666666666;0;0;0;0.0;0.0;0.0;0.0;1
28039244;infantil_ii_ciclo;2022-2023;0;0;140;49;140;2020-2021;115;46.666666666666664;39;39;39;0.8214285714285714;0.8357142857142857;0.8357142857142857;1.0;1
28039244;primaria;2022-2023;38.333333333333336;46.666666666666664;312;10;312;2020-2021;305;52.0;8;7;45.333333333333336;0.9775641025641025;0.15384615384615385;0.8717948717948718;0.875;1
28077907;eso;2022-2023;0;0;447;112;447;2023-2024;399;111.75;95;87;87;0.8926174496644296;0.8501118568232662;0.7785234899328859;0.9157894736842105;1
28050446;infantil_ii_ciclo;2022-2023;0;0;146;53;146;2020-2021;124;48.666666666666664;49;44;44;0.8493150684931506;1.0068493150684932;0.904109589041096;0.8979591836734694;1
28050446;primaria;2022-2023;41.333333333333336;48.666666666666664;347;3;347;2020-2021;316;57.833333333333336;5;5;46.333333333333336;0.9106628242074928;0.08645533141210374;0.8011527377521613;1.0;1
28037995;infantil_ii_ciclo;2022-2023;0;0;133;34;133;2020-2021;124;44.333333333333336;42;40;40;0.9323308270676691;0.9473684210526315;0.9022556390977443;0.9523809523809523;1
28037995;primaria;2022-2023;41.333333333333336;44.333333333333336;341;9;341;2022-2023;341;56.833333333333336;15;9;50.333333333333336;1.0;0.26392961876832843;0.8856304985337243;0.6;1
28047526;infantil_i_ciclo;2022-2023;0;0;118;115;118;2024-2025;113;39.333333333333336;123;105;105;0.9576271186440678;3.1271186440677963;2.669491525423729;0.8536585365853658;1
28037648;infantil_ii_ciclo;2022-2023;0;0;144;49;144;2020-2021;127;48.0;33;33;33;0.8819444444444444;0.6875;0.6875;1.0;1
28037648;primaria;2022-2023;42.333333333333336;48.0;269;9;269;2020-2021;254;44.833333333333336;0;0;42.333333333333336;0.9442379182156134;0.0;0.9442379182156134;0.0;1
28010965;infantil_ii_ciclo;2022-2023;0;0;62;25;62;2023-2024;60;20.666666666666668;20;18;18;0.967741935483871;0.9677419354838709;0.8709677419354839;0.9;1
28010965;primaria;2022-2023;20.0;20.666666666666668;155;0;155;2023-2024;142;25.833333333333332;24;0;20.0;0.9161290322580645;0.9290322580645162;0.7741935483870969;0.0;1
28040799;eso;2022-2023;0;0;433;66;433;2023-2024;393;108.25;76;64;64;0.9076212471131639;0.7020785219399538;0.5912240184757506;0.8421052631578947;1
28039891;eso;2022-2023;0;0;843;195;843;2022-2023;843;210.75;205;195;195;1.0;0.9727164887307236;0.9252669039145908;0.9512195121951219;1
28044720;eso;2022-2023;0;0;787;102;787;2023-2024;766;196.75;122;93;93;0.9733163913595934;0.6200762388818297;0.4726810673443456;0.7622950819672131;1
28041366;eso;2022-2023;0;0;514;103;514;2023-2024;506;128.5;113;99;99;0.9844357976653697;0.8793774319066148;0.7704280155642024;0.8761061946902655;1
28067288;infantil_i_ciclo;2022-2023;0;0;48;48;48;2020-2021;41;16.0;57;50;50;0.8541666666666666;3.5625;3.125;0.8771929824561403;1
28037636;infantil_ii_ciclo;2022-2023;0;0;136;45;136;2022-2023;136;45.333333333333336;45;45;45;1.0;0.9926470588235293;0.9926470588235293;1.0;1
28037636;primaria;2022-2023;45.333333333333336;45.333333333333336;297;1;297;2022-2023;297;49.5;8;1;46.333333333333336;1.0;0.16161616161616163;0.9360269360269361;0.125;1
28039131;infantil_ii_ciclo;2022-2023;0;0;121;22;121;2021-2022;98;40.333333333333336;24;22;22;0.8099173553719008;0.5950413223140496;0.5454545454545454;0.9166666666666666;1
28039131;primaria;2022-2023;32.666666666666664;40.333333333333336;304;2;304;2021-2022;295;50.666666666666664;8;4;36.666666666666664;0.9703947368421053;0.15789473684210528;0.7236842105263158;0.5;1
28064160;infantil_ii_ciclo;2022-2023;0;0;133;42;133;2020-2021;112;44.333333333333336;34;34;34;0.8421052631578947;0.7669172932330827;0.7669172932330827;1.0;1
28064160;primaria;2022-2023;37.333333333333336;44.333333333333336;299;4;299;2020-2021;285;49.833333333333336;8;8;45.333333333333336;0.9531772575250836;0.1605351170568562;0.9096989966555183;1.0;1
28064160;eso;2022-2023;0;0;188;13;188;2020-2021;175;47.0;9;8;8;0.9308510638297872;0.19148936170212766;0.1702127659574468;0.8888888888888888;1
28073586;infantil_i_ciclo;2022-2023;0;0;164;158;164;2020-2021;149;54.666666666666664;167;148;148;0.9085365853658537;3.054878048780488;2.707317073170732;0.8862275449101796;1
28045803;eso;2022-2023;0;0;605;126;605;2022-2023;605;151.25;142;126;126;1.0;0.9388429752066115;0.8330578512396695;0.8873239436619719;1
28073215;infantil_i_ciclo;2022-2023;0;0;230;229;230;2024-2025;228;76.66666666666667;365;233;233;0.991304347826087;4.760869565217391;3.0391304347826087;0.6383561643835617;1
28010576;infantil_ii_ciclo;2022-2023;0;0;148;50;148;2020-2021;142;49.333333333333336;61;48;48;0.9594594594594594;1.2364864864864864;0.9729729729729729;0.7868852459016393;1
28010576;primaria;2022-2023;47.333333333333336;49.333333333333336;305;0;305;2024-2025;297;50.833333333333336;15;4;51.333333333333336;0.9737704918032787;0.29508196721311475;1.0098360655737706;0.26666666666666666;1
28044124;infantil_i_ciclo;2022-2023;0;0;82;68;82;2024-2025;76;27.333333333333332;113;74;74;0.926829268292683;4.134146341463415;2.707317073170732;0.6548672566371682;1
28071671;infantil_i_ciclo;2022-2023;0;0;22;23;22;2024-2025;11;7.333333333333333;13;12;12;0.5;1.7727272727272727;1.6363636363636365;0.9230769230769231;1
28042012;eso;2022-2023;0;0;757;154;757;2023-2024;741;189.25;188;153;153;0.9788639365918098;0.9933949801849405;0.808454425363276;0.8138297872340425;1
28044011;infantil_i_ciclo;2022-2023;0;0;59;67;59;2024-2025;40;19.666666666666668;71;45;45;0.6779661016949152;3.6101694915254234;2.2881355932203387;0.6338028169014085;1
28060221;infantil_ii_ciclo;2022-2023;0;0;277;86;277;2021-2022;264;92.33333333333333;73;72;72;0.9530685920577617;0.7906137184115524;0.7797833935018051;0.9863013698630136;1
28060221;primaria;2022-2023;88.0;92.33333333333333;659;5;659;2020-2021;628;109.83333333333333;25;11;99.0;0.952959028831563;0.2276176024279211;0.9013657056145675;0.44;1
28058597;infantil_ii_ciclo;2022-2023;0;0;122;39;122;2020-2021;108;40.666666666666664;36;36;36;0.8852459016393442;0.8852459016393444;0.8852459016393444;1.0;1
28058597;primaria;2022-2023;36.0;40.666666666666664;304;3;304;2020-2021;263;50.666666666666664;3;3;39.0;0.8651315789473685;0.05921052631578948;0.7697368421052632;1.0;1
28070123;infantil_i_ciclo;2022-2023;0;0;131;137;131;2023-2024;125;43.666666666666664;132;126;126;0.9541984732824428;3.0229007633587788;2.885496183206107;0.9545454545454546;1
28062035;eso;2022-2023;0;0;641;138;641;2022-2023;641;160.25;139;138;138;1.0;0.8673946957878315;0.8611544461778471;0.9928057553956835;1
28070342;infantil_i_ciclo;2022-2023;0;0;94;104;94;2024-2025;86;31.333333333333332;99;87;87;0.9148936170212766;3.1595744680851063;2.776595744680851;0.8787878787878788;1
28049407;infantil_ii_ciclo;2022-2023;0;0;64;16;64;2020-2021;59;21.333333333333332;25;22;22;0.921875;1.171875;1.03125;0.88;1
28049407;primaria;2022-2023;19.666666666666668;21.333333333333332;173;4;173;2020-2021;168;28.833333333333332;19;8;27.666666666666668;0.9710982658959537;0.6589595375722543;0.9595375722543353;0.42105263157894735;1
28001678;eso;2022-2023;0;0;392;94;392;2023-2024;391;98.0;97;83;83;0.9974489795918368;0.9897959183673469;0.8469387755102041;0.8556701030927835;1
28065358;infantil_i_ciclo;2022-2023;0;0;215;192;215;2023-2024;205;71.66666666666667;233;180;180;0.9534883720930233;3.2511627906976743;2.511627906976744;0.7725321888412017;1
28077142;infantil_i_ciclo;2022-2023;0;0;29;31;29;2022-2023;29;9.666666666666666;34;31;31;1.0;3.517241379310345;3.2068965517241383;0.9117647058823529;1
28058639;eso;2022-2023;0;0;646;134;646;2023-2024;632;161.5;222;141;141;0.978328173374613;1.3746130030959753;0.8730650154798761;0.6351351351351351;1
28067598;infantil_ii_ciclo;2022-2023;0;0;161;56;161;2024-2025;125;53.666666666666664;43;42;42;0.7763975155279503;0.8012422360248448;0.782608695652174;0.9767441860465116;1
28067598;primaria;2022-2023;41.666666666666664;53.666666666666664;353;5;353;2024-2025;330;58.833333333333336;11;11;52.666666666666664;0.9348441926345609;0.18696883852691218;0.895184135977337;1.0;1
28073938;infantil_ii_ciclo;2022-2023;0;0;71;16;71;2022-2023;71;23.666666666666668;16;16;16;1.0;0.676056338028169;0.676056338028169;1.0;1
28073938;primaria;2022-2023;23.666666666666668;23.666666666666668;171;3;171;2020-2021;137;28.5;1;1;24.666666666666668;0.8011695906432749;0.03508771929824561;0.8654970760233919;1.0;1
28003493;infantil_ii_ciclo;2022-2023;0;0;180;43;180;2020-2021;117;60.0;38;38;38;0.65;0.6333333333333333;0.6333333333333333;1.0;1
28003493;primaria;2022-2023;39.0;60.0;440;7;440;2020-2021;411;73.33333333333333;4;4;43.0;0.9340909090909091;0.05454545454545455;0.5863636363636364;1.0;1
28031804;infantil_ii_ciclo;2022-2023;0;0;68;25;68;2021-2022;67;22.666666666666668;23;19;19;0.9852941176470589;1.0147058823529411;0.838235294117647;0.8260869565217391;1
28031804;primaria;2022-2023;22.333333333333332;22.666666666666668;167;5;167;2024-2025;159;27.833333333333332;6;2;24.333333333333332;0.9520958083832335;0.2155688622754491;0.874251497005988;0.3333333333333333;1
28032456;infantil_ii_ciclo;2022-2023;0;0;149;47;149;2021-2022;140;49.666666666666664;45;40;40;0.9395973154362416;0.9060402684563759;0.8053691275167786;0.8888888888888888;1
28032456;primaria;2022-2023;46.666666666666664;49.666666666666664;304;0;304;2020-2021;296;50.666666666666664;16;3;49.666666666666664;0.9736842105263158;0.31578947368421056;0.9802631578947368;0.1875;1
28058901;infantil_i_ciclo;2022-2023;0;0;39;40;39;2021-2022;38;13.0;42;40;40;0.9743589743589743;3.230769230769231;3.076923076923077;0.9523809523809523;1
28063763;infantil_ii_ciclo;2022-2023;0;0;249;79;249;2020-2021;211;83.0;58;58;58;0.8473895582329317;0.6987951807228916;0.6987951807228916;1.0;1
28063763;primaria;2022-2023;70.33333333333333;83.0;589;3;589;2023-2024;587;98.16666666666667;5;2;72.33333333333333;0.9966044142614601;0.05093378607809847;0.7368421052631579;0.4;1
28044136;infantil_i_ciclo;2022-2023;0;0;142;143;142;2021-2022;138;47.333333333333336;202;139;139;0.971830985915493;4.267605633802817;2.936619718309859;0.6881188118811881;1
28033552;eso;2022-2023;0;0;631;148;631;2023-2024;579;157.75;137;129;129;0.9175911251980983;0.8684627575277337;0.8177496038034865;0.9416058394160584;1
28066272;infantil_i_ciclo;2022-2023;0;0;12;13;12;2022-2023;12;4.0;13;13;13;1.0;3.25;3.25;1.0;1
28023145;infantil_ii_ciclo;2022-2023;0;0;74;24;74;2020-2021;66;24.666666666666668;17;14;14;0.8918918918918919;0.6891891891891891;0.5675675675675675;0.8235294117647058;1
28023145;primaria;2022-2023;22.0;24.666666666666668;219;8;219;2024-2025;180;36.5;7;6;28.0;0.821917808219178;0.1917808219178082;0.7671232876712328;0.8571428571428571;1
28002041;infantil_ii_ciclo;2022-2023;0;0;171;45;171;2021-2022;149;57.0;44;44;44;0.8713450292397661;0.7719298245614035;0.7719298245614035;1.0;1
28002041;primaria;2022-2023;49.666666666666664;57.0;346;7;346;2021-2022;340;57.666666666666664;1;1;50.666666666666664;0.9826589595375722;0.017341040462427747;0.8786127167630058;1.0;1
28042115;eso;2022-2023;0;0;345;71;345;2023-2024;324;86.25;89;70;70;0.9391304347826087;1.0318840579710145;0.8115942028985508;0.7865168539325843;1
28006123;infantil_ii_ciclo;2022-2023;0;0;210;82;210;2021-2022;207;70.0;72;62;62;0.9857142857142858;1.0285714285714285;0.8857142857142857;0.8611111111111112;1
28006123;primaria;2022-2023;69.0;70.0;481;8;481;2021-2022;474;80.16666666666667;55;12;81.0;0.9854469854469855;0.686070686070686;1.0103950103950103;0.21818181818181817;1
28078547;eso;2022-2023;0;0;546;141;546;2024-2025;496;136.5;149;126;126;0.9084249084249084;1.0915750915750915;0.9230769230769231;0.8456375838926175;1
28030575;eso;2022-2023;0;0;357;94;357;2024-2025;282;89.25;80;77;77;0.7899159663865546;0.896358543417367;0.8627450980392157;0.9625;1
28018502;infantil_ii_ciclo;2022-2023;0;0;145;53;145;2020-2021;141;48.333333333333336;46;41;41;0.9724137931034482;0.9517241379310344;0.8482758620689654;0.8913043478260869;1
28018502;primaria;2022-2023;47.0;48.333333333333336;346;3;346;2020-2021;294;57.666666666666664;10;0;47.0;0.8497109826589595;0.17341040462427745;0.815028901734104;0.0;1
28072429;infantil_i_ciclo;2022-2023;0;0;160;143;160;2024-2025;139;53.333333333333336;157;126;126;0.86875;2.94375;2.3625;0.802547770700637;1
28073884;infantil_ii_ciclo;2022-2023;0;0;69;27;69;2021-2022;61;23.0;17;16;16;0.8840579710144928;0.7391304347826086;0.6956521739130435;0.9411764705882353;1
28073884;primaria;2022-2023;20.333333333333332;23.0;165;5;165;2021-2022;163;27.5;9;6;26.333333333333332;0.9878787878787879;0.32727272727272727;0.9575757575757575;0.6666666666666666;1
28030216;eso;2022-2023;0;0;863;156;863;2023-2024;863;215.75;211;184;184;1.0;0.9779837775202781;0.8528389339513326;0.8720379146919431;1
28049493;infantil_ii_ciclo;2022-2023;0;0;135;43;135;2023-2024;123;45.0;37;37;37;0.9111111111111111;0.8222222222222222;0.8222222222222222;1.0;1
28049493;primaria;2022-2023;41.0;45.0;276;10;276;2020-2021;248;46.0;14;6;47.0;0.8985507246376812;0.30434782608695654;1.0217391304347827;0.42857142857142855;1
28028568;eso;2022-2023;0;0;519;129;519;2022-2023;519;129.75;137;129;129;1.0;1.0558766859344895;0.9942196531791907;0.9416058394160584;1
28020855;eso;2022-2023;0;0;366;75;366;2024-2025;342;91.5;95;80;80;0.9344262295081968;1.0382513661202186;0.8743169398907104;0.8421052631578947;1
28078158;infantil_i_ciclo;2022-2023;0;0;33;27;33;2020-2021;24;11.0;32;28;28;0.7272727272727273;2.909090909090909;2.5454545454545454;0.875;1
28006172;infantil_ii_ciclo;2022-2023;0;0;149;36;149;2020-2021;138;49.666666666666664;49;41;41;0.9261744966442953;0.9865771812080537;0.825503355704698;0.8367346938775511;1
28006172;primaria;2022-2023;46.0;49.666666666666664;315;0;315;2023-2024;307;52.5;25;1;47.0;0.9746031746031746;0.47619047619047616;0.8952380952380953;0.04;1
