id_municipality,id_education,id_municipality_original
28096,28043958,28096
28096,28068761,28096
28096,28023297,28096
28096,28031518,28096
28096,28035639,28096
28096,28043958,28096
28096,28049067,28096
28096,28063878,28096
28096,28066016,28096
28096,28023297,28096
28096,28031518,28096
28096,28035639,28096
28096,28063878,28096
28096,28023327,28096
28096,28041470,28096
28096,28063878,28096
28087,28047681,28038
28087,28022967,nan
28087,28049201,nan
28087,28022967,nan
28087,28040714,28068
28087,28065644,28046
28087,28035342,28038
28063,28047174,28076
28063,28048750,28182
28063,28047174,28076
28063,28048750,28182
28063,28042863,28076
28063,28042863,28076
28063,28001952,28027
28176,28068220,28026
28176,28050185,28119
28176,28025567,28176
28176,28025567,28176
28176,28049092,28176
28176,28049092,28176
28176,28057088,28176
28176,28057088,28176
28176,28079451,28176
28176,28079451,28176
28176,28025567,28176
28176,28025567,28176
28176,28057088,28176
28176,28057088,28176
28176,28079451,28176
28176,28079451,28176
28176,28046303,28176
28176,28046303,28176
28176,28057088,28176
28176,28057088,28176
28176,28079451,28176
28176,28079451,28176
28118,28047204,28088
28118,28047204,28088
28118,28044781,28901
28118,28044781,28901
28118,28001952,28027
28118,28001952,28027
28169,28048154,28169
28169,28056187,28169
28169,28048154,28169
28169,28073872,28169
28169,28073872,28169
28169,28073872,28169
28025,28060661,28025
28025,28060661,28025
28025,28002737,28055
28025,28025658,28180
28025,28045049,28180
28025,28023388,28100
28025,28025415,28165
28030,28050631,28021
28030,28050631,28021
28030,28058895,28158
28030,28048671,28029
28030,28048725,28121
28030,28002014,28030
28030,28002014,28030
28030,28047071,28030
28030,28047071,28030
28030,28002014,28030
28030,28002014,28030
28030,28041381,28030
28030,28041381,28030
28104,28047824,28053
28104,28047757,28009
28104,28023443,28104
28104,28046194,28104
28104,28065383,28104
28104,28072326,28104
28104,28073963,28104
28104,28077208,28104
28104,28023443,28104
28104,28073963,28104
28104,28077208,28104
28104,28057222,28104
28104,28077890,28104
28026,28068220,28026
28026,28001940,28026
28026,28058925,28026
28026,28060269,28026
28026,28068220,28026
28026,28001940,28026
28026,28060269,28026
28026,28050537,28026
28902,28056175,28027
28902,28056217,28901
28902,28056217,28901
28902,28047058,28027
28902,28047186,28901
28902,28047186,28901
28902,28047058,28027
28902,28047186,28901
28902,28047186,28901
28902,28044781,28901
28902,28044781,28901
28902,28001952,28027
28902,28044781,28901
28902,28044781,28901
28902,28001952,28027
28902,28001952,28027
28083,28047927,28083
28083,28022876,28083
28083,28047927,28083
28083,28049493,28083
28083,28022876,28083
28083,28049493,28083
28083,28057210,28083
28181,28057398,28092
28181,28058226,28092
28181,28056813,28092
28181,28025661,28181
28181,28040039,28181
28181,28063911,28181
28181,28065346,28181
28181,28072405,28181
28181,28025661,28181
28181,28040039,28181
28181,28063911,28181
28181,28041512,28181
28181,28049341,28181
28182,28048750,28182
28182,28048750,28182
28182,28001952,28027
28182,28001952,28027
28062,28056217,28901
28062,28056217,28901
28062,28058895,28158
28062,28047186,28901
28062,28047186,28901
28062,28058895,28158
28062,28047186,28901
28062,28047186,28901
28062,28044781,28901
28062,28044781,28901
28062,28044781,28901
28062,28044781,28901
28062,28041381,28030
28062,28041381,28030
28062,28001952,28027
28091,28047952,28091
28091,28049833,28091
28091,28023005,28091
28091,28047952,28091
28091,28049833,28091
28091,28023005,28091
28091,28046297,28091
28157,28064743,28157
28157,28064743,28157
28157,28002245,28043
28157,28001824,28019
28157,28002646,28052
28157,28040684,28052
28157,28046285,28043
28164,28048129,28164
28164,28025403,28164
28164,28048129,28164
28164,28025403,28164
28164,28025403,28164
28055,28047113,28055
28055,28002737,28055
28055,28047113,28055
28055,28002737,28055
28055,28025658,28180
28055,28045049,28180
28171,28072399,28171
28171,28025491,28171
28171,28072399,28171
28171,28025491,28171
28171,28046273,28171
28178,28057556,28178
28178,28057556,28178
28178,28065553,28178
28178,28065553,28178
28178,28067768,28175
28166,28071036,28048
28166,28048749,28172
28166,28071036,28048
28166,28048749,28172
28166,28025506,28172
28166,28025506,28172
28166,28060397,28172
