Población.Censos.Censo anual.Población censada.Total. Población censada de 75 a 79 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Municipios;0493;Coslada;2.919,00;3.223,00;3.519,00;3.994,00;
Municipios;0506;Cubas de la Sagra;121,00;121,00;117,00;114,00;
Municipios;0534;Daganzo de Arriba;131,00;153,00;161,00;163,00;
Municipios;0549;Escorial (El);545,00;577,00;637,00;666,00;
Municipios;0552;Estremera;46,00;46,00;52,00;56,00;
Municipios;0565;Fresnedillas de la Oliva;47,00;47,00;57,00;61,00;
Municipios;0571;Fresno de Torote;83,00;89,00;98,00;98,00;
Municipios;0587;Fuenlabrada;3.802,00;4.219,00;4.716,00;5.240,00;
Municipios;0590;Fuente el Saz de Jarama;166,00;170,00;200,00;221,00;
Municipios;0604;Fuentidueña de Tajo;54,00;65,00;76,00;84,00;
Municipios;0611;Galapagar;854,00;918,00;974,00;1.022,00;
Municipios;0626;Garganta de los Montes;16,00;15,00;14,00;11,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;10,00;10,00;11,00;11,00;
Municipios;0647;Gascones;9,00;11,00;7,00;5,00;
Municipios;0650;Getafe;8.384,00;9.036,00;9.591,00;9.943,00;
Municipios;0663;Griñón;233,00;244,00;264,00;281,00;
Municipios;0679;Guadalix de la Sierra;177,00;184,00;183,00;199,00;
Municipios;0685;Guadarrama;512,00;548,00;565,00;604,00;
Municipios;0698;Hiruela (La);4,00;4,00;2,00;6,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;7,00;6,00;7,00;10,00;
Municipios;0719;Horcajuelo de la Sierra;9,00;9,00;9,00;6,00;
Municipios;0724;Hoyo de Manzanares;242,00;244,00;256,00;298,00;
Municipios;0730;Humanes de Madrid;274,00;318,00;350,00;389,00;
Municipios;0745;Leganés;9.399,00;10.040,00;10.675,00;11.223,00;
Municipios;0758;Loeches;116,00;122,00;142,00;159,00;
Municipios;0761;Lozoya;28,00;29,00;28,00;26,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;51,00;50,00;59,00;51,00;
Municipios;0783;Madarcos;2,00;2,00;1,00;2,00;
Municipios;0796;Madrid;127.459,00;129.764,00;132.034,00;133.589,00;
Municipios;0800;Majadahonda;2.504,00;2.715,00;2.958,00;3.135,00;
Municipios;0822;Manzanares el Real;211,00;218,00;234,00;245,00;
Municipios;0838;Meco;194,00;211,00;236,00;253,00;
Municipios;0843;Mejorada del Campo;435,00;500,00;564,00;606,00;
Municipios;0856;Miraflores de la Sierra;206,00;197,00;199,00;210,00;
Municipios;0869;Molar (El);178,00;210,00;217,00;228,00;
Municipios;0875;Molinos (Los);169,00;176,00;180,00;182,00;
Municipios;0881;Montejo de la Sierra;14,00;18,00;18,00;17,00;
Municipios;0894;Moraleja de Enmedio;107,00;120,00;131,00;124,00;
Municipios;0908;Moralzarzal;365,00;400,00;409,00;417,00;
Municipios;0915;Morata de Tajuña;243,00;261,00;282,00;283,00;
Municipios;0920;Móstoles;7.822,00;8.744,00;9.810,00;11.043,00;
Municipios;0936;Navacerrada;108,00;111,00;104,00;116,00;
Municipios;0941;Navalafuente;32,00;32,00;27,00;26,00;
Municipios;0954;Navalagamella;60,00;56,00;62,00;62,00;
Municipios;0967;Navalcarnero;635,00;674,00;719,00;787,00;
Municipios;0973;Navarredonda y San Mamés;5,00;8,00;9,00;9,00;
Municipios;0992;Navas del Rey;121,00;122,00;119,00;131,00;
Municipios;1006;Nuevo Baztán;145,00;163,00;172,00;187,00;
Municipios;1013;Olmeda de las Fuentes;9,00;8,00;12,00;15,00;
Municipios;1028;Orusco de Tajuña;43,00;41,00;57,00;65,00;
Municipios;1049;Paracuellos de Jarama;414,00;417,00;447,00;460,00;
Municipios;1065;Parla;2.711,00;2.953,00;3.337,00;3.694,00;
Municipios;1071;Patones;19,00;17,00;20,00;26,00;
Municipios;1087;Pedrezuela;96,00;117,00;138,00;147,00;
Municipios;1090;Pelayos de la Presa;105,00;105,00;99,00;103,00;
Municipios;1104;Perales de Tajuña;98,00;99,00;100,00;98,00;
Municipios;1111;Pezuela de las Torres;32,00;29,00;27,00;25,00;
Municipios;1126;Pinilla del Valle;10,00;10,00;8,00;12,00;
Municipios;1132;Pinto;1.247,00;1.333,00;1.448,00;1.517,00;
Municipios;1147;Piñuécar-Gandullas;6,00;5,00;4,00;5,00;
Municipios;1150;Pozuelo de Alarcón;3.158,00;3.300,00;3.454,00;3.591,00;
Municipios;1163;Pozuelo del Rey;19,00;19,00;27,00;24,00;
Municipios;1179;Prádena del Rincón;6,00;7,00;6,00;7,00;
Municipios;1185;Puebla de la Sierra;2,00;5,00;5,00;10,00;
Municipios;9020;Puentes Viejas;23,00;28,00;30,00;38,00;
Municipios;1198;Quijorna;91,00;93,00;99,00;94,00;
Municipios;1202;Rascafría;80,00;85,00;86,00;87,00;
Municipios;1219;Redueña;14,00;19,00;14,00;12,00;
Municipios;1224;Ribatejada;24,00;26,00;28,00;30,00;
Municipios;1230;Rivas-Vaciamadrid;1.047,00;1.182,00;1.328,00;1.571,00;
