Población.Censos.Censo anual.Población censada.Total. Población total censada. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Municipios;0474;Collado Villalba;64.297,00;64.843,00;66.260,00;67.323,00;
Municipios;0455;Colmenar Viejo;52.465,00;53.316,00;55.100,00;56.878,00;
Municipios;0437;Colmenar de Oreja;8.422,00;8.561,00;8.750,00;8.982,00;
Municipios;0421;Colmenar del Arroyo;1.879,00;1.939,00;1.954,00;2.013,00;
Municipios;0442;Colmenarejo;9.414,00;9.544,00;9.655,00;9.741,00;
Municipios;0480;Corpa;742,00;772,00;796,00;795,00;
Municipios;0493;Coslada;81.388,00;80.578,00;80.146,00;80.688,00;
Municipios;0506;Cubas de la Sagra;6.607,00;6.692,00;6.807,00;6.984,00;
Municipios;0534;Daganzo de Arriba;10.528,00;10.633,00;10.601,00;10.673,00;
Municipios;0549;Escorial (El);16.681,00;16.733,00;16.978,00;17.262,00;
Municipios;0552;Estremera;1.379,00;1.408,00;1.449,00;1.451,00;
Municipios;0565;Fresnedillas de la Oliva;1.733,00;1.781,00;1.799,00;1.833,00;
Municipios;0571;Fresno de Torote;2.412,00;2.438,00;2.508,00;2.547,00;
Municipios;0587;Fuenlabrada;192.612,00;190.215,00;189.287,00;190.496,00;
Municipios;0590;Fuente el Saz de Jarama;6.868,00;7.034,00;7.260,00;7.384,00;
Municipios;0604;Fuentidueña de Tajo;2.223,00;2.249,00;2.260,00;2.319,00;
Municipios;0611;Galapagar;34.653,00;34.860,00;35.298,00;36.112,00;
Municipios;0626;Garganta de los Montes;411,00;396,00;419,00;415,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;348,00;383,00;388,00;401,00;
Municipios;0647;Gascones;191,00;212,00;227,00;236,00;
Municipios;0650;Getafe;183.872,00;185.119,00;187.525,00;191.560,00;
Municipios;0663;Griñón;10.489,00;10.506,00;10.599,00;10.714,00;
Municipios;0679;Guadalix de la Sierra;6.597,00;6.680,00;6.813,00;6.912,00;
Municipios;0685;Guadarrama;16.583,00;16.870,00;17.044,00;17.069,00;
Municipios;0698;Hiruela (La);73,00;76,00;74,00;84,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;169,00;199,00;234,00;231,00;
Municipios;0719;Horcajuelo de la Sierra;106,00;109,00;108,00;111,00;
Municipios;0724;Hoyo de Manzanares;8.669,00;8.818,00;8.971,00;9.186,00;
Municipios;0730;Humanes de Madrid;19.685,00;19.762,00;19.834,00;20.054,00;
Municipios;0745;Leganés;188.687,00;188.122,00;190.974,00;193.934,00;
Municipios;0758;Loeches;8.916,00;8.995,00;9.153,00;9.253,00;
Municipios;0761;Lozoya;599,00;600,00;621,00;620,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;1.412,00;1.458,00;1.473,00;1.479,00;
Municipios;0783;Madarcos;57,00;63,00;72,00;70,00;
Municipios;0796;Madrid;3.277.451,00;3.267.027,00;3.340.176,00;3.422.416,00;
Municipios;0800;Majadahonda;72.173,00;72.395,00;72.833,00;73.547,00;
Municipios;0822;Manzanares el Real;9.223,00;9.279,00;9.396,00;9.539,00;
Municipios;0838;Meco;14.960,00;15.199,00;15.451,00;15.812,00;
Municipios;0843;Mejorada del Campo;23.673,00;23.776,00;24.133,00;24.632,00;
Municipios;0856;Miraflores de la Sierra;6.588,00;6.707,00;6.990,00;7.209,00;
Municipios;0869;Molar (El);9.305,00;9.437,00;9.781,00;10.079,00;
Municipios;0875;Molinos (Los);4.599,00;4.756,00;4.842,00;4.812,00;
Municipios;0881;Montejo de la Sierra;356,00;373,00;379,00;374,00;
Municipios;0894;Moraleja de Enmedio;5.336,00;5.423,00;5.506,00;5.630,00;
Municipios;0908;Moralzarzal;13.597,00;13.900,00;14.103,00;14.504,00;
Municipios;0915;Morata de Tajuña;7.908,00;7.958,00;8.085,00;8.294,00;
